"Gene","Bead","Sup","Enrichment","P"
"Tomm34",154,72.99,1.08," 1.1e-20"
"Btbd11",192.06,91.01,1.08," 4.3e-23"
"Gse1",128.18,61.02,1.08," 3.9e-18"
"Rtn4r",10.58,5.04,1.07," 2.7e-05"
"Oaz1-ps",2.24,1.06,1.07," 4.1e-02"
"Nek10",30.5,14.56,1.07," 7.5e-12"
"Arxes2",76.01,36.11,1.07," 3.0e-13"
"Enc1",576.6,274.78,1.07," 1.6e-27"
"Mink1",279.87,133.78,1.07," 1.1e-21"
"Rrp7a",100.24,48.17,1.07," 7.5e-12"
"Neurl2",2.32,1.11,1.07," 4.1e-02"
"Thra",1134.38,543.9,1.07," 5.3e-17"
"1110017D15Rik",3.9,1.85,1.07," 6.8e-03"
"Morf4l2",320.2,152.48,1.07," 1.5e-26"
"Oprl1",222.14,105.68,1.07," 3.3e-22"
"Efna3",29.15,13.87,1.07," 1.1e-10"
"Prpf8",644.64,308.2,1.07," 4.4e-29"
"Ak4",102.91,49.25,1.07," 6.1e-21"
"Ccdc157",71.96,34.59,1.06," 3.8e-17"
"Chchd10",93.19,44.96,1.06," 2.5e-13"
"Drd1",10.64,5.06,1.06," 7.0e-06"
"Gpr83",50.86,24.18,1.06," 1.1e-14"
